OriginalOrder,BuildingID,Use,BuildingName,Occupancy,LandscapeArea,ConditionedArea,RooftopArea,EnergyBase,OldEnergyBase,JobsBase,OpCostEnergyBase,OpCostWaterBase,ExpenditureFoodBase,OpCostBase,FoodPercentageBase,WaterBase,CO2EnergyBase,CO2WaterBase,CO2FoodBase,CO2EmissionsBase,EnergyHighPerformance,JobsHighPerformance,OpCostEnergyHP,OpCostWaterHP,OpCostFoodHP,OpCostHP,InvestmentCostHP,WaterHighPerformance,CO2EnergyHP,CO2WaterHP,CO2FoodHP,CO2EmissionsHighPerformance,EnergyWaterEfficient,JobsWaterEfficient,OpCostEnergyWaterEfficient,OpCostWaterWaterEfficient,OpCostFoodWaterEfficient,OpCostWaterEfficient,InvestmentCostWaterEfficient,WaterWaterEfficient,CO2EnergyWaterEfficient,CO2WaterWaterEfficient,CO2FoodWaterEfficient,CO2EmissionsWaterEfficient,EnergyGreenery,JobsGreenery,OpCostEnergyGreenery,OpCostWaterGreenery,OpCostFoodGreenery,OpCostGreenery,InvestmentCostGreenery,WaterGreenery,CO2EnergyGreenery,CO2WaterGreenery,CO2FoodGreenery,CO2EmissionsGreenery,EnergyPVPanels,JobsPVPanels,OpCostEnergyPVPanels,OpCostWaterPVPanels,OpCostFoodPVPanels,OpCostPVPanels,InvestmentCostPVPanels,CO2EnergyPV,CO2WaterPV,CO2FoodPV,CO2EmissionsPVPanels,EnergyGreenhouse,JobsGreenhouse,OpCostEnergyGreenhouse,OpCostWaterGreenhouse,OpCostFoodGreenhouse,OpCostGreenhouse,InvestmentCostGreenhouse,FoodPercentageGreenhouse100,WaterGreenhouse100,CO2EnergyGreenhouse,CO2WaterGreenhouse,CO2FoodGreenhouse,CO2EmissionsGreenhouse
11,07877bd5-a74b-4b74-a6f8-6f80769888ec,Commercial,C99_1_1,3,75.50263847,63.27978,21.09326,17808.17307,17636.78208,0,3539.374398,1940.62,444.39,5924.381521,0,282786.2839,13480.78701,1416.63,562.22,15459.63694,-3629.36208,0.02755643954,-721.3357134,0,0,-721.3357134,11658.46341,0,-2747.427095,0,0,-2747.427095,-813.1173932,0,-161.6070819,-144.1865145,0,-305.7935964,92.54667825,-21010.78535,-615.5298666,0,0,-615.5298666,-47.98947701,0,-7.738303168,-418.2824542,0,-426.0207573,3322.116093,-60951.90589,-5.857895498,0,0,-5.857895498,-4081.54581,0.002109326,-811.2072297,0,0,-811.2072297,415273.5563,-3089.730178,0,0,-3089.730178,2942.50977,0.00711897525,474.4797004,188.6584859,0,5680.461428,15234.60704,0.00420101647,30231.9149,2227.479896,0,-1996.477059,231.0028369
12,07a4c353-c2b2-4943-a621-e52fdbd81493,Commercial,C217_1_1,655,85.395,13102.23635,1871.74805,3283513.617,3283319.77,0,652598.3313,70528.32,97024.33,820150.9799,0,10277350.43,2485619.808,293316.55,122751.59,2901687.947,-577067.77,0.6056918505,-114692.2193,0,0,-114692.2193,971279.8293,0,-436840.3019,0,0,-436840.3019,-168357.9852,0,-33461.14956,-29854.17761,0,-63315.32717,19162.02066,-4350335.535,-127446.9948,0,0,-127446.9948,-54.277062,0,-8.752176248,-473.0858536,0,-481.8380299,3757.38,-68937.82931,-6.625397419,0,0,-6.625397419,-362183.2477,0.187174805,-71983.92048,0,0,-71983.92048,36850039.73,-274172.7185,0,0,-274172.7185,261108.853,0.6317149669,42103.80254,16740.94726,0,504065.877,1351870.029,0.37278468970,2682682.893,197659.4017,0,-177160.9529,20498.44877
13,0a4712e7-093e-4336-ae08-c7d54f15dc2b,Commercial,C169_1_1,667,0,13356.31638,2226.05273,3251221.479,3251221.479,0,646180.269,70041.16,98801.88,815023.3094,0,10206362.72,2461174.66,299004.58,125000.47,2885179.71,-532259.479,0.5661727591,-105786.5715,0,0,-105786.5715,1005856.087,0,-402920.4256,0,0,-402920.4256,-171622.8021,0,-34110.03191,-30433.11316,0,-64543.14507,19533.61271,-4434697.728,-129918.4612,0,0,-129918.4612,0,0,0,0,0,0,0,0,0,0,0,0,-430741.2033,0.222605273,-85609.81415,0,0,-85609.81415,43825413.12,-326071.0909,0,0,-326071.0909,310534.3558,0.7512927964,50073.66488,19909.8545,0,599480.9086,1607766.584,0.44334940068,3190490.075,235074.5074,0,-210695.8909,24378.61647
14,0aaca8f7-6615-4389-a753-8736b0f3362b,Commercial,C323_1_1,551,637.945875,11027.43225,2205.48645,2712593.897,2711145.76,0,539128.0371,71421.47,81618.94,692168.4465,0,10407499.91,2053433.58,246868.42,103261.26,2403563.261,-452126.76,0.4696260693,-89860.19355,0,0,-89860.19355,863391.4722,0,-342259.9573,0,0,-342259.9573,-141697.6634,0,-28162.41059,-25126.62054,0,-53289.03113,16127.61967,-3661438.33,-107265.1312,0,0,-107265.1312,-405.4783982,0,-65.3833917,-3534.201872,0,-3599.585264,28069.6185,-515002.0943,-49.49522752,0,0,-49.49522752,-426761.6281,0.220548645,-84818.87358,0,0,-84818.87358,43420514.48,-323058.5525,0,0,-323058.5525,307665.3598,0.7443516769,49611.03926,19725.90934,0,593942.364,1592912.589,0.43925333962,3161013.454,232902.6773,0,-208749.2925,24153.38486
15,0adc61c2-4138-4c17-a15e-5f72e3e12157,Commercial,C237_1_1,283,117.6289275,5662.1588,1132.43176,1384604.111,1384337.093,0,275190.067,32199.02,41920.44,349309.5238,0,4692024.854,1048145.312,126757.36,53036.18,1227938.854,-232217.093,0.3365162344,-46153.14723,0,0,-46153.14723,466184.6261,0,-175788.3394,0,0,-175788.3394,-72756.25489,0,-14460.30566,-12901.5452,0,-27361.85086,8280.907245,-1880006.586,-55076.48495,0,0,-55076.48495,-74.76494632,0,-12.05584759,-651.6608886,0,-663.7167362,5175.67281,-94959.69232,-9.126276629,0,0,-9.126276629,-219125.5456,0.113243176,-43551.20218,0,0,-43551.20218,22294750.28,-165878.038,0,0,-165878.038,157974.2305,0.382195719,25473.34467,10128.48944,0,304966.3699,817898.8387,0.22553955499,1623057.82,119586.4925,0,-107184.6661,12401.82642
16,0cd45f4d-3ef1-4e3a-9a08-7936112b42af,Commercial,C35_1_1,506,365.1576675,10120.9779,1124.5531,2509420.125,2508591.217,0,498747.2498,60855.52,74953.15,634555.9182,0,8867835.469,1899631.035,226575.85,94827.94,2221034.829,-422614.217,0.6036184262,-83994.57563,0,0,-83994.57563,754498.2907,0,-319918.9623,0,0,-319918.9623,-130050.1229,0,-25847.46193,-23061.21365,0,-48908.67558,14801.93018,-3360468.292,-98447.94304,0,0,-98447.94304,-232.0942135,0,-37.42519192,-2022.963017,0,-2060.388209,16066.93737,-294785.1391,-28.33087028,0,0,-28.33087028,-217601.0249,0.11245531,-43248.20369,0,0,-43248.20369,22139639.16,-164723.9758,0,0,-164723.9758,156875.1575,0.3795366713,25296.11914,10058.02257,0,302844.6294,812208.4765,0.22397041014,1611765.731,118754.4942,0,-106438.9509,12315.54327
17,0d2fd07c-6cc8-40af-bfc0-e0624064f15a,Commercial,C29_1_1,77,43.5941925,1550.50769,1550.50769,379648.5169,379549.5581,0,75455.14274,9059.82,11405.91,95920.88007,0,1320192.873,287393.9273,34710.84,14430.34,336535.102,-62788.4581,0.07875297302,-12479.20605,0,0,-12479.20605,233783.9191,0,-47530.86278,0,0,-47530.86278,-19923.34314,0,-3959.76445,-3532.918406,0,-7492.682856,2267.617497,-514815.0683,-15081.97076,0,0,-15081.97076,-27.70846875,0,-4.467990586,-241.5105776,0,-245.9785682,1918.14447,-35192.79819,-3.382268874,0,0,-3.382268874,-300023.238,0.155050769,-59629.61856,0,0,-59629.61856,30525620.15,-227117.5912,0,0,-227117.5912,216295.8228,0.5232963454,34877.70142,13867.76786,0,417555.1397,1119854.179,0.30880519848,2222265.147,163735.9378,0,-146755.5529,16980.38497
18,0d3a3e84-1319-458f-bea3-1f65daa1051b,Commercial,C149_1_1,99,595.4602567,1990.3103,995.15515,514660.4971,513308.8023,0,102288.7738,23125.10,14664.75,140078.6211,0,3369777.934,389597.9963,44556.59,18553.29,452707.8782,-92785.2023,0.1261843192,-18441.05896,0,0,-18441.05896,218393.3323,0,-70238.39814,0,0,-70238.39814,-25574.61361,0,-5082.954455,-4535.033227,0,-9617.987682,2910.828814,-660842.7289,-19359.9825,0,0,-19359.9825,-378.4745392,0,-61.02901944,-3298.832764,0,-3359.861783,26200.25129,-480704.2279,-46.19896772,0,0,-46.19896772,-192562.5215,0.099515515,-38271.80115,0,0,-38271.80115,19592117.02,-145769.8288,0,0,-145769.8288,138824.1434,0.3358648631,22385.39313,8900.685046,0,267997.4762,718750.8071,0.19819900643,1426306.119,105089.8766,0,-94191.43495,10898.44163
19,0e4532cf-8df0-4c8d-9f0f-4d985495994c,Commercial,C301_1_1,100,5859.086724,2001.38794,1000.69397,511517.536,498217.4091,0,101664.1103,135338.35,14812.88,251815.3312,0,19721434.75,387218.7747,44804.58,18740.70,450764.0561,-85344.1091,0.1265349893,-16962.14168,0,0,-16962.14168,219524.56,0,-64605.49059,0,0,-64605.49059,-25716.95642,0,-5111.245088,-4560.274249,0,-9671.519337,2927.029862,-664520.8377,-19467.73601,0,0,-19467.73601,-3724.035522,0,-600.5007279,-32459.1726,0,-33059.67333,257799.8159,-4729934.077,-454.579051,0,0,-454.579051,-193634.2832,0.100069397,-38484.81379,0,0,-38484.81379,19701162.53,-146581.1524,0,0,-146581.1524,139596.8088,0.3377342149,22509.98542,8950.224349,0,269489.0926,722751.2198,0.19930213956,1434244.633,105674.7843,0,-94715.68426,10959.10001
20,0e542151-35a2-4dfb-bbbf-c1a67611bbde,Commercial,C141_1_1,28,273.91602,566.24243,566.24243,143097.1663,142475.3769,0,28440.5618,8805.89,4147.61,41394.05737,0,1283189.883,108324.5549,12676.33,5247.40,126248.2814,-25301.4769,0.04759169802,-5028.668534,0,0,-5028.668534,89892.01319,0,-19153.21801,0,0,-19153.21801,-7275.966645,0,-1446.098371,-1290.215016,0,-2736.313386,828.1295539,-188009.474,-5507.90675,0,0,-5507.90675,-174.1010223,0,-28.07378985,-1517.486904,0,-1545.560694,12052.30488,-221127.4177,-21.25185891,0,0,-21.25185891,-109567.9102,0.056624243,-21776.62215,0,0,-21776.62215,11147897.84,-82942.90803,0,0,-82942.90803,78990.81899,0.1911068201,12737.26956,5064.482185,0,152490.3349,408968.5951,0.11277506530,811566.9628,59796.04997,0,-53594.846,6201.203972
21,0ea536b1-956e-49c4-8737-5607a9bac610,Commercial,C193_1_1,27,208.6388625,545.61438,545.61438,138855.0365,138381.4263,0,27597.43851,7306.82,3999.48,38903.73245,0,1064745.748,105113.2626,12214.54,5059.99,122387.7871,-24537.0263,0.04671677985,-4876.733977,0,0,-4876.733977,86823.16818,0,-18574.52891,0,0,-18574.52891,-7010.905258,0,-1393.41742,-1243.212851,0,-2636.630271,797.9610308,-181160.3426,-5307.255281,0,0,-5307.255281,-132.610861,0,-21.38350134,-1155.853321,0,-1177.236823,9180.10995,-168430.3565,-16.18731051,0,0,-16.18731051,-105576.3825,0.054561438,-20983.30603,0,0,-20983.30603,10741783.11,-79921.32158,0,0,-79921.32158,76113.20601,0.1841448533,12273.25447,4879.984546,0,146935.1556,394069.986,0.10866670188,782001.8101,57617.69695,0,-51642.40107,5975.295883
22,0fc0cf3f-c2cf-4b92-99b4-b678a63678a5,Commercial,C305_1_1,41,45.74202,830.24585,830.24585,205586.9007,205483.0663,0,40860.39651,5328.50,6073.28,52262.1762,0,776466.4389,155629.2838,18586.51,7683.69,181899.4812,-34627.3663,0.05762797411,-6882.189052,0,0,-6882.189052,128889.5543,0,-26212.91629,0,0,-26212.91629,-10668.29469,0,-2120.323571,-1891.761559,0,-4012.08513,1214.234556,-275666.5296,-8075.899084,0,0,-8075.899084,-29.07362791,0,-4.688122501,-253.4094804,0,-258.0976029,2012.64888,-36926.70024,-3.548908733,0,0,-3.548908733,-160652.572,0.083024585,-31929.69868,0,0,-31929.69868,16345465.17,-121613.997,0,0,-121613.997,115819.2961,0.2802079744,18675.86149,7425.733386,0,223587.0381,599645.0652,0.16535502284,1189949.865,87675.20713,0,-78582.7697,9092.437426
23,1277c836-0fc1-4f59-8279-62ad64f749d9,Commercial,C234_1_1,1,829.6030739,21.63672,21.63672,7924.691801,6041.492823,0,1575.032495,17790.30,148.13,19513.46087,0,2592393.388,5998.991693,484.38,187.41,6670.774642,-1246.793823,0.009303057562,-247.8002723,0,0,-247.8002723,5229.196694,0,-943.822924,0,0,-943.822924,-278.0223535,0,-55.25694275,-49.30047547,0,-104.5574182,31.643703,-7184.040142,-210.4629216,0,0,-210.4629216,-527.2957138,0,-85.02643385,-4595.977263,0,-4681.003697,36502.53525,-669723.4628,-64.36501042,0,0,-64.36501042,-4186.70532,0.002163672,-832.1076824,0,0,-832.1076824,425972.925,-3169.335927,0,0,-3169.335927,3018.32244,0.007302393,486.7044935,193.5192016,0,5826.816404,15627.12102,0.00430925410,31010.82894,2284.870087,0,-2047.915548,236.9545391
24,12bf9117-2eb0-427d-9d82-371667236854,Commercial,C134_1_1,16,1996.53438,324.69336,324.69336,88074.10868,83541.97564,0,17504.7291,44244.03,2370.06,64118.81693,0,6447217.17,66672.10027,7268.83,2998.51,76939.44295,-15057.35564,0.03603849941,-2992.649433,0,0,-2992.649433,53643.03053,0,-11398.41822,0,0,-11398.41822,-4172.167136,0,-829.2182182,-739.831963,0,-1569.050181,474.864039,-107807.9363,-3158.330522,0,0,-3158.330522,-1268.997252,0,-204.6258069,-11060.74327,0,-11265.36908,87847.51272,-1611765.868,-154.9017358,0,0,-154.9017358,-62828.16516,0.032469336,-12487.09783,0,0,-12487.09783,6392400.525,-47560.92103,0,0,-47560.92103,45294.72372,0.109584009,7303.7742,2904.063084,0,87440.63779,234509.7793,0.06466720425,465366.7582,34288.10586,0,-30732.22652,3555.879332
25,13b59708-b269-41e9-b483-64eec884e469,Commercial,C21_1_1,132,733.0159425,2646.46044,1323.23022,657936.4605,656272.5143,0,130764.8715,29496.96,19553.00,179814.8295,0,4298282.4,498057.9006,59245.66,24737.72,582041.2859,-110485.6143,0.1455049261,-21959.01584,0,0,-21959.01584,285050.4634,0,-83637.61003,0,0,-83637.61003,-34005.85486,0,-6758.663653,-6030.107984,0,-12788.77164,3870.448394,-878704.2599,-25742.43213,0,0,-25742.43213,-465.9049331,0,-75.12717045,-4060.887322,0,-4136.014493,32252.70147,-591750.4295,-56.87126803,0,0,-56.87126803,-256045.0476,0.132323022,-50888.9532,0,0,-50888.9532,26051094.96,-193826.101,0,0,-193826.101,184590.6157,0.4465901993,29765.23678,11834.9942,0,356348.8159,955703.0264,0.26353972532,1896519.713,139735.0961,0,-125243.7403,14491.35575
26,13d6986c-343a-4d04-bd92-9cb5255a76e4,Commercial,C136_1_1,204,11663.49181,4096.1809,585.1687,1118235.322,1091759.196,0,222249.2703,270001.38,30218.27,522468.9142,0,39344463.22,846504.1391,91700.20,38231.03,976435.3651,-207690.196,0.3386636461,-41278.42646,0,0,-41278.42646,339447.4402,0,-157221.4784,0,0,-157221.4784,-52634.12634,0,-10461.03261,-9333.377055,0,-19794.40967,5990.664566,-1360054.944,-39844.03364,0,0,-39844.03364,-7413.315394,0,-1195.397107,-64615.4105,0,-65810.8076,513193.6396,-9415724.663,-904.9156103,0,0,-904.9156103,-113230.1435,0.05851687,-22504.49101,0,0,-22504.49101,11520508.78,-85715.21859,0,0,-85715.21859,81631.03365,0.1974944363,13163.00418,5233.759075,0,157587.2212,422638.0936,0.11654449553,838693.0393,61794.69247,0,-55386.21746,6408.475018
27,1435a448-e59b-4450-9085-df2e2ac70b0a,Commercial,C83_1_1,54,655.2367275,1099.80126,549.90063,281321.8334,279834.446,0,55912.71438,19728.92,7998.95,83640.58786,0,2874888.303,212960.6279,24620.98,10119.98,247701.5872,-49081.846,0.09379984051,-9755.016893,0,0,-9755.016893,126450.5694,0,-37154.95742,0,0,-37154.95742,-14131.96338,0,-2808.727721,-2505.958622,0,-5314.686344,1608.459343,-365167.0124,-10697.89628,0,0,-10697.89628,-416.468464,0,-67.15553982,-3629.992699,0,-3697.148239,28830.41601,-528960.6848,-50.83674364,0,0,-50.83674364,-106405.7719,0.054990063,-21148.14717,0,0,-21148.14717,10826168.65,-80549.16933,0,0,-80549.16933,76711.13789,0.1855914626,12369.67098,4918.320841,0,148089.4522,397165.73,0.10952036826,788145.0779,58070.33138,0,-52048.09463,6022.236749
28,1526dbaa-0e82-44b8-ad1b-d5016587cca3,Commercial,C182_1_1,90,340.3214175,1807.6499,903.82495,458509.6634,457737.1338,0,91128.7956,16730.83,13331.59,121191.2125,0,2438007.926,347091.8152,40467.42,16866.63,404425.8605,-81361.3338,0.1202547263,-16170.56509,0,0,-16170.56509,199705.0698,0,-61590.52969,0,0,-61590.52969,-23227.50766,0,-4616.467147,-4118.8313,0,-8735.298446,2643.687979,-600193.9963,-17583.2233,0,0,-17583.2233,-216.308293,0,-34.87971224,-1885.370904,0,-1920.250616,14974.14237,-274735.2865,-26.40394217,0,0,-26.40394217,-174890.1278,0.090382495,-34759.41291,0,0,-34759.41291,17794053.7,-132391.8268,0,0,-132391.8268,126083.5805,0.3050409206,20330.97736,8083.826141,0,243402.0519,652787.5701,0.18000932525,1295407.11,95445.27046,0,-85547.03152,9898.23894
